Date,Max_Temp,Rainfall,Wind_Direction,Wind_Speed
2021-02-04 01:00:00,15.0,0.0,SW,SW
2021-02-04 02:00:00,14.4,0.0,S,S
2021-02-04 03:00:00,12.9,0.0,S,S
2021-02-04 04:00:00,11.8,0.0,SW,SW
2021-02-04 05:00:00,12.1,0.0,SW,SW
2021-02-04 06:00:00,12.4,0.0,SW,SW
2021-02-04 07:00:00,12.6,0.0,SW,SW
2021-02-04 08:00:00,13.1,0.0,SW,SW
2021-02-04 09:00:00,13.8,0.0,SW,SW
2021-02-04 10:00:00,14.4,0.0,SW,SW
2021-02-04 11:00:00,13.4,0.0,S,S
2021-02-04 12:00:00,14.6,0.0,SW,SW
2021-02-04 13:00:00,15.8,0.0,S,S
2021-02-04 14:00:00,15.8,0.0,S,S
2021-02-04 15:00:00,16.9,0.0,S,S
2021-02-04 16:00:00,16.3,0.0,S,S
2021-02-04 17:00:00,15.6,0.0,S,S
2021-02-04 18:00:00,15.8,0.0,S,S
2021-02-04 19:00:00,15.2,0.0,S,S
2021-02-04 20:00:00,14.0,0.0,S,S
2021-02-04 21:00:00,11.8,0.0,S,S
2021-02-04 22:00:00,9.2,0.0,S,S
2021-02-04 23:00:00,9.4,0.0,SW,SW
2021-02-05 00:00:00,8.0,0.0,SW,SW
